Producto,PrecioMín,PrecioMáx,URL,Categoría
Luviskol PVP K30 1 Kg,25000,,https://reachem.cl/producto/luviskol-pvp-k30-1-kg/,Envases
Copal blanco 250 gr,28000,,https://reachem.cl/producto/copal-blanco-250-gr/,Envases
Frasco PET triangular azul 20/410 con atomizador blanco 40 cc,300,,https://reachem.cl/producto/frasco-pet-triangular-azul-20-410-con-atomizador-40-cc/,Perfumería
Frasco de vidrio lápiz vidrio con atomizador plástico diferentes tamaños,330,400,https://reachem.cl/producto/frasco-de-vidrio-lapiz-vidrio-con-atomizador-plastico-diferentes-tamanos/,Perfumería
Frasco de Vidrio Base Cuadrada T692 13/410,340,400,https://reachem.cl/producto/frasco-vidrio-base-cuadrada-t692-13-410-20-cc/,Perfumería
Frasco Perfumero Lápiz de Color – 10 ml,360,,https://reachem.cl/producto/frasco-perfumero-lapiz-de-color-10-ml/,Perfumería
Frasco campana con tapa PET 30cc,380,,https://reachem.cl/producto/frasco-campana-tapa-pet-30cc/,Perfumería
Frasco PET cónico diferentes tamaños y tapas,390,1000,https://reachem.cl/producto/frasco-pet-conico-diferentes-tamanos-y-tapas/,Perfumería
Frasco PET Ámbar Tubular 18/410 30cc,450,,https://reachem.cl/producto/frasco-pet-ambar-tubular-30cc/,Perfumería
Frasco PET acinturado base circular 24/410 con atomizador transparente 205ml,550,,https://reachem.cl/producto/frasco-pet-acinturado-base-circular-24-410-con-atomizador-transparente-205ml/,Perfumería
Frasco vidrio acinturado base cuadrada alto 18/410 23cc,550,600,https://reachem.cl/producto/frasco-vidrio-acinturado-base-cuadrada-alto-18-410-23-cc/,Perfumería
Frasco vidrio ámbar tipo penicilina,550,750,https://reachem.cl/producto/frasco-vidrio-ambar-tipo-penicilina/,Perfumería
Frasco gotario ámbar graduado,580,650,https://reachem.cl/producto/frasco-gotario-ambar-graduado/,Perfumería
Frasco Vidrio Tubular Armado 30 cc,600,,https://reachem.cl/producto/frasco-vidrio-tubular-armado-30-cc/,Perfumería
Frasco PET azul acinturado con atomizador plástico transparente 90 cc,650,,https://reachem.cl/producto/frasco-pet-azul-acinturado-con-atomizador-plastico-transparente-90-cc/,Perfumería
Frasco PET Tubular de 100 CC con Tapa Cantimplora,650,,https://reachem.cl/producto/frasco-pet-tubular-ambar-de-100-cc-con-tapa-cantimplora/,Perfumería
Frasco vidrio base rectangular una cara catedral 18/410 con atomizador,680,800,https://reachem.cl/producto/frasco-vidrio-base-rectangular-una-cara-catedral-18-410-atomizador/,Perfumería
Frasco PET triangular azul 24/410 con atomizador 200 cc,750,,https://reachem.cl/producto/frasco-pet-triangular-azul-24-410-con-atomizador-200-cc/,Perfumería
Frasco perfumero metálico dorado mate diferentes tamaños,950,1200,https://reachem.cl/producto/frasco-perfumero-metalico-dorado-mate-diferentes-tamanos/,Perfumería
Frasco perfumero rellenable o ladrón 5cc,1400,,https://reachem.cl/producto/frasco-perfumero-rellenable-o-ladron-5cc/,Perfumería
Frasco perfumero aluminio rosado 8cc,1500,,https://reachem.cl/producto/frasco-perfumero-aluminio-rosado-8cc/,Perfumería
Agua de azahar,1500,24000,https://reachem.cl/producto/agua-de-azahar/,Perfumería
